12:26:51:867 [ALWAYS]	GUDE Logging Started
12:26:51:868 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:26:51:868 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:26:51:868 [ERROR]	Initialize resume cache pointer failure
12:26:51:868 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:26:51:870 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:26:57:087 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:26:57:087 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:26:57:087 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:26:57:087 [ERROR]	Initialize resume cache pointer failure
12:26:57:087 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:26:57:087 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
